Type,Group,Class,Year,Count
New Arrivals,Other,Other,2004,338
New Arrivals,Other,Other,2005,347
New Arrivals,Other,Other,2006,410
New Arrivals,Other,Other,2007,780
New Arrivals,Other,Other,2008,"2,131"
New Arrivals,Other,Other,2009,"3,518"
New Arrivals,Other,Other,2010,"2,926"
New Arrivals,Other,Other,2011,"1,305"
New Arrivals,Other,Other,2012,"4,230"
New Arrivals,Other,Other,2013,"2,651"
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2004,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2005,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2006,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2007,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2008,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2009,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2010,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2011,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2012,-
New Arrivals,Haitian Refugee Immigration Fairness Act (HRIFA),Haitian Refugee Immigration Fairness Act (HRIFA),2013,-
New Arrivals,Cancellation of removal,Cancellation of removal,2004,-
New Arrivals,Cancellation of removal,Cancellation of removal,2005,-
New Arrivals,Cancellation of removal,Cancellation of removal,2006,-
New Arrivals,Cancellation of removal,Cancellation of removal,2007,-
New Arrivals,Cancellation of removal,Cancellation of removal,2008,-
New Arrivals,Cancellation of removal,Cancellation of removal,2009,-
New Arrivals,Cancellation of removal,Cancellation of removal,2010,-
New Arrivals,Cancellation of removal,Cancellation of removal,2011,-
New Arrivals,Cancellation of removal,Cancellation of removal,2012,-
New Arrivals,Cancellation of removal,Cancellation of removal,2013,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2004,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2005,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2006,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2007,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2008,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2009,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2010,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2011,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2012,-
New Arrivals,Nicaraguan Adjustment and Central American Relief Act (NACARA),Nicaraguan Adjustment and Central American Relief Act (NACARA),2013,-
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2004,707
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2005,571
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2006,623
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2007,597
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2008,637
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2009,587
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2010,716
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2011,633
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2012,643
New Arrivals,Children born abroad to alien residents,Children born abroad to alien residents,2013,643
New Arrivals,Parolees,Parolees,2004,-
New Arrivals,Parolees,Parolees,2005,-
New Arrivals,Parolees,Parolees,2006,-
New Arrivals,Parolees,Parolees,2007,-
New Arrivals,Parolees,Parolees,2008,-
New Arrivals,Parolees,Parolees,2009,-
New Arrivals,Parolees,Parolees,2010,-
New Arrivals,Parolees,Parolees,2011,-
New Arrivals,Parolees,Parolees,2012,-
New Arrivals,Parolees,Parolees,2013,-
New Arrivals,Asylees,Asylees,2004,-
New Arrivals,Asylees,Asylees,2005,-
New Arrivals,Asylees,Asylees,2006,-
New Arrivals,Asylees,Asylees,2007,-
New Arrivals,Asylees,Asylees,2008,-
New Arrivals,Asylees,Asylees,2009,-
New Arrivals,Asylees,Asylees,2010,-
New Arrivals,Asylees,Asylees,2011,-
New Arrivals,Asylees,Asylees,2012,-
New Arrivals,Asylees,Asylees,2013,-
New Arrivals,Refugees,Refugees,2004,-
New Arrivals,Refugees,Refugees,2005,-
New Arrivals,Refugees,Refugees,2006,-
New Arrivals,Refugees,Refugees,2007,-
New Arrivals,Refugees,Refugees,2008,-
New Arrivals,Refugees,Refugees,2009,-
New Arrivals,Refugees,Refugees,2010,-
New Arrivals,Refugees,Refugees,2011,-
New Arrivals,Refugees,Refugees,2012,-
New Arrivals,Refugees,Refugees,2013,-
New Arrivals,Diversity,Diversity,2004,"48,053"
New Arrivals,Diversity,Diversity,2005,"44,384"
New Arrivals,Diversity,Diversity,2006,"42,618"
New Arrivals,Diversity,Diversity,2007,"40,767"
New Arrivals,Diversity,Diversity,2008,"40,321"
New Arrivals,Diversity,Diversity,2009,"46,602"
New Arrivals,Diversity,Diversity,2010,"48,192"
New Arrivals,Diversity,Diversity,2011,"48,486"
New Arrivals,Diversity,Diversity,2012,"38,964"
New Arrivals,Diversity,Diversity,2013,"44,113"
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2004,60
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2005,158
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2006,469
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2007,491
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2008,"1,029"
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2009,"2,703"
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2010,"1,745"
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2011,"2,764"
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2012,"5,677"
New Arrivals,Employment-based preferences,Fifth: Employment creation (investors),2013,"7,312"
